time_s,sig_activation_sine_ratio_healthy,sig_activation_square_ratio_healthy,left_ventricle_stiffness_cgs_healthy,left_ventricle_pressure_mmhg_healthy,arterial_compliance_pressure_mmhg_healthy,left_ventricle_volume_ml_healthy,mitral_flow_ml_per_s_healthy,tricuspid_flow_ml_per_s_healthy
0.0,0.0,0.0,45.0,4.0,63.00000000000001,128.4,0.0,0.0
0.001,0.0041890007337819744,0.001,55.28399680143475,4.914133049016423,62.97626442215455,128.4,0.0,6.948271909926544
0.002,0.008379264462721359,0.002,65.57109425598094,5.8285417116427505,62.95258629022476,128.4,0.0,13.833278803856224
0.003,0.01257205328798712,0.003,75.86439082200837,6.743501406400744,62.92896711386403,128.4,0.0,20.654592116167553
0.004,0.016768627523200793,0.004,86.16698056945795,7.659287161729595,62.90540814921568,128.4,0.0,27.411801292204743
0.005,0.020970244801736086,0.005,96.4819509882621,8.576173421178853,62.88191038836259,128.4,0.0,34.10447128223931
0.006,0.02517815918530597,0.006,106.81238079992616,9.494433848882325,62.85847455547274,128.4,0.0,40.73214291603514
0.007,0.02939362027426562,0.007,117.16133777332209,10.414341135406408,62.835101101712716,128.4,0.0,47.29433334310012
0.008,0.03361787232005838,0.008,127.53187654574333,11.336166804066075,62.811790205043565,128.4,0.0,53.7905363617966
0.009000000000000001,0.037852153340231745,0.009000000000000001,137.92703645026893,12.260181017801683,62.78854177421443,128.4,0.0,60.220222831883554
0.01,0.042097694236448296,0.01,148.34983935048058,13.186652386709385,62.76535545013233,128.4,0.0,66.58284102456263
0.011,0.046355717915916,0.011,158.8032874835738,14.115847776317672,62.742230615581455,128.4,0.0,72.87781693265003
0.012,0.050627438416660134,0.012,169.29036131290064,15.048032116702279,62.71916640503866,128.4,0.0,79.10455469239261
0.013000000000000001,0.054914060037057524,0.013000000000000001,179.81401739097623,15.983468212531221,62.69616171393386,128.4,0.0,85.26243684875199
0.014,0.059216776470052565,0.014,190.37718623397905,16.92241655413147,62.67321521236794,128.4,0.0,91.35082466880537
0.015,0.06353676994247094,0.015,200.98277020876614,17.865135129668104,62.65032536414902,128.4,0.0,97.36905855862345
0.016,0.06787521035984626,0.016,211.63364143342255,18.81187923852645,62.627490441281644,128.4,0.0,103.31645829931576
0.017,0.07223325445717117,0.017,222.33263969235523,19.762901305987132,62.60470853892393,128.4,0.0,109.19232332702714
0.018000000000000002,0.0766120449559827,0.018000000000000002,233.08257036693752,20.718450699283334,62.58197759611825,128.4,0.0,114.99593311261575
0.019,0.08101270972818779,0.019,243.88620238270101,21.67877354512898,62.55929542641328,128.4,0.0,120.72654752921628
0.02,0.08543636096703337,0.02,254.74626617406693,22.64411254880595,62.53665972670694,128.4,0.0,126.38340697622144
0.021,0.08988409436562013,0.021,265.6654516675974,23.614706814897545,62.51406809727593,128.4,0.0,131.96573278385853
0.022,0.09435698830335827,0.022,276.64640628474456,24.590791669755074,62.491518072011054,128.4,0.0,137.47272758232683
0.023,0.09885610304075737,0.023,287.6917329650594,25.572598485783054,62.469007143785376,128.4,0.0,142.90357555692543
0.024,0.1033824799229405,0.024,298.80398821081894,26.56035450762835,62.44653277546736,128.4,0.0,148.25744270292284
0.025,0.10793714059226872,0.025,309.98568015401975,27.55428268035731,62.42409241700654,128.4,0.0,153.53347719846977
0.026000000000000002,0.11252108621045662,0.026000000000000002,321.23926664667096,28.55460147970409,62.401683546373555,128.4,0.0,158.73080982618063
0.027,0.1171352966905572,0.027,332.5671533753179,29.561524744472706,62.37930367894038,128.4,0.0,163.84855413121485
0.028,0.12178072993918843,0.028,343.9716920007076,30.575261511174013,62.35695037685192,128.4,0.0,168.88580683454546
0.029,0.1264583211093701,0.029,355.4551783235036,31.5960158509781,62.334621279770225,128.4,0.0,173.84164825437404
0.03,0.1311689818643344,0.03,367.019850476941,32.62398670906142,62.31231412451476,128.4,0.0,178.71514258678596
0.031,0.1359135996526693,0.031,378.6678871473032,33.65936774642695,62.29002674805582,128.4,0.0,183.5053382569281
0.032,0.14069303699514732,0.032,390.4014058230867,34.70234718427437,62.26775710800834,128.4,0.0,188.21126839799882
0.033,0.14550813078358987,0.033,402.22246107371313,35.753107650996725,62.24550330180123,128.4,0.0,192.8319512021221
0.034,0.1503596915921073,0.034,414.1330428586234,36.81182603187764,62.22326356710869,128.4,0.0,197.3663902871147
0.035,0.15524850300105572,0.035,426.1350748675918,37.87867332156372,62.20103629549486,128.4,0.0,201.81357523069016
0.036000000000000004,0.16017532093403808,0.036000000000000004,438.2304128930635,38.95381447938342,62.1788200450475,128.4,0.0,206.1724819590637
0.037,0.16514087300827907,0.037,450.42084323532515,40.037408287584455,62.156613538522194,128.4,0.0,210.4420731851353
0.038,0.17014585789869185,0.038,462.7080811412885,41.12960721255898,62.134415671919115,128.4,0.0,214.62129899933504
0.039,0.1751909447159497,0.039,475.0937692776565,42.23055726912503,62.11222551862309,128.4,0.0,218.7090972763487
0.04,0.18027677239887163,0.04,487.57947623922985,43.340397887931545,62.09004232613583,128.4,0.0,222.7043942543423
0.041,0.185403949121422,0.041,500.166695093091,44.45926178605253,62.067865518678936,128.4,0.0,226.60610510630832
0.042,0.19057305171461814,0.042,512.8568419593876,45.587274840834446,62.04569469364084,128.4,0.0,230.41313446288257
0.043000000000000003,0.1957846251036348,0.043000000000000003,525.6512546294234,46.724555967059864,62.02352961777446,128.4,0.0,234.12437709352096
0.044,0.20103918176038563,0.044,538.5511912217466,47.871216997488595,62.001370222597686,128.4,0.0,237.7387184497395
