time_s,sig_activation_sine_ratio_af,sig_activation_square_ratio_af,left_ventricle_stiffness_cgs_af,left_ventricle_pressure_mmhg_af,arterial_compliance_pressure_mmhg_af,left_ventricle_volume_ml_af,mitral_flow_ml_per_s_af,tricuspid_flow_ml_per_s_af
0.0,0.0,0.0,45.0,4.0,63.00000000000001,128.4,0.0,0.0
0.001,0.0041890007337819744,0.001,55.28399680143475,4.914133049016423,62.97626442215453,128.4,0.0,0.0
0.002,0.008379264462721359,0.002,65.57109425598094,5.8285417116427505,62.95258629022335,128.4,0.0,0.0
0.003,0.01257205328798712,0.003,75.86439082200837,6.743501406400744,62.92896711386672,128.4,0.0,0.0
0.004,0.016768627523200793,0.004,86.16698056945795,7.659287161729595,62.905408149210196,128.4,0.0,0.0
0.005,0.020970244801736086,0.005,96.4819509882621,8.576173421178853,62.88191038837073,128.4,0.0,0.0
0.006,0.02517815918530597,0.006,106.81238079992616,9.494433848882325,62.85847455546235,128.4,0.0,0.0
0.007,0.02939362027426562,0.007,117.16133777332209,10.414341135406408,62.83510110172062,128.4,0.0,0.0
0.008,0.03361787232005838,0.008,127.53187654574333,11.336166804066075,62.81179020504601,128.4,0.0,0.0
0.009000000000000001,0.037852153340231745,0.009000000000000001,137.92703645026893,12.260181017801683,62.78854177420352,128.4,0.0,0.0
0.01,0.042097694236448296,0.01,148.34983935048058,13.186652386709385,62.76535545014035,128.4,0.0,0.0
0.011,0.046355717915916,0.011,158.8032874835738,14.115847776317672,62.742230615590294,128.4,0.0,0.0
0.012,0.050627438416660134,0.012,169.29036131290064,15.048032116702279,62.71916640503224,128.4,0.0,0.0
0.013000000000000001,0.054914060037057524,0.013000000000000001,179.81401739097623,15.983468212531221,62.696161713931744,128.4,0.0,0.0
0.014,0.059216776470052565,0.014,190.37718623397905,16.92241655413147,62.67321521241454,128.4,0.0,0.0
0.015,0.06353676994247094,0.015,200.98277020876614,17.865135129668104,62.65032536414501,128.4,0.0,0.0
